Node_ID,Top_1,Top_2,Top_3,Top_4,Top_5
0,"(17287, 0.663154125213623)","(17293, 0.6584411263465881)","(17290, 0.6578352451324463)","(17282, 0.6576229333877563)","(17286, 0.6568148136138916)"
1,"(8975, 0.6535248756408691)","(17287, 0.6489408016204834)","(8974, 0.6483231782913208)","(4893, 0.6481907963752747)","(1708, 0.6469719409942627)"
2,"(8975, 0.6534816026687622)","(17287, 0.6516697406768799)","(8974, 0.6481478214263916)","(4893, 0.6471659541130066)","(17293, 0.6467236876487732)"
3,"(17287, 0.6603052020072937)","(17293, 0.6554756164550781)","(17290, 0.6548634171485901)","(17282, 0.654846727848053)","(17286, 0.6537958979606628)"
4,"(17287, 0.6585968136787415)","(8975, 0.6550498008728027)","(17293, 0.653849720954895)","(17290, 0.6532629728317261)","(17282, 0.6530925035476685)"
5,"(987, 0.8131003379821777)","(1992, 0.7642358541488647)","(1755, 0.7610673308372498)","(3090, 0.7594937086105347)","(6439, 0.7568567991256714)"
6,"(4155, 0.9001501202583313)","(1988, 0.8692634701728821)","(1989, 0.8558931350708008)","(1737, 0.8247696161270142)","(1731, 0.8244574666023254)"
7,"(14606, 0.739021360874176)","(14605, 0.7336567044258118)","(14604, 0.73094642162323)","(7838, 0.7085080146789551)","(7840, 0.7043163180351257)"
8,"(832, 0.6707961559295654)","(831, 0.6652420163154602)","(14046, 0.6595532298088074)","(14047, 0.6576759815216064)","(1540, 0.6553933620452881)"
9,"(5867, 0.9973970651626587)","(5866, 0.997142493724823)","(5865, 0.9969998598098755)","(5864, 0.9968486428260803)","(832, 0.6595730781555176)"
10,"(5867, 0.9965699911117554)","(5866, 0.9964256286621094)","(5865, 0.9964087009429932)","(5864, 0.9959172010421753)","(832, 0.6538079977035522)"
12,"(17712, 0.9907694458961487)","(14376, 0.9903721809387207)","(68, 0.9865224361419678)","(1795, 0.9855272769927979)","(438, 0.9851600527763367)"
13,"(174, 0.806041419506073)","(173, 0.8041642308235168)","(382, 0.7386993765830994)","(8896, 0.7379017472267151)","(5594, 0.7354063987731934)"
14,"(2600, 0.983826756477356)","(801, 0.9769684672355652)","(2599, 0.9767959117889404)","(128, 0.9767338633537292)","(1061, 0.9749482274055481)"
15,"(2600, 0.9819607734680176)","(1107, 0.9809887409210205)","(877, 0.9788709282875061)","(1061, 0.9770553708076477)","(801, 0.976895809173584)"
16,"(3757, 0.8935620784759521)","(13110, 0.8800255060195923)","(1105, 0.8799203634262085)","(480, 0.8560039401054382)","(11478, 0.8062095046043396)"
17,"(2099, 0.6692866086959839)","(2098, 0.663165271282196)","(15001, 0.658948540687561)","(15002, 0.6522636413574219)","(14046, 0.645589292049408)"
18,"(2099, 0.6684361696243286)","(2098, 0.6624805927276611)","(15001, 0.6583996415138245)","(15002, 0.651699960231781)","(14046, 0.6468026638031006)"
19,"(3308, 0.9755017161369324)","(384, 0.9734162092208862)","(11446, 0.9713841676712036)","(11445, 0.9706009030342102)","(3307, 0.9702844619750977)"
20,"(11445, 0.9681193232536316)","(1511, 0.9653856754302979)","(3307, 0.9625570774078369)","(3308, 0.9621577262878418)","(1512, 0.9615558385848999)"
21,"(3307, 0.9673426747322083)","(3309, 0.9621221423149109)","(11445, 0.9613118767738342)","(3308, 0.9610821008682251)","(384, 0.9599474668502808)"
22,"(8636, 0.6929634809494019)","(18022, 0.6923503875732422)","(8635, 0.6914530992507935)","(934, 0.6830266118049622)","(628, 0.6829965114593506)"
24,"(9683, 0.6678788065910339)","(9684, 0.6670261025428772)","(5636, 0.6658139824867249)","(5634, 0.6612444519996643)","(5633, 0.6559911966323853)"
25,"(9683, 0.6680945158004761)","(9684, 0.6672368049621582)","(5636, 0.6639068722724915)","(5634, 0.6603212952613831)","(5633, 0.6544346213340759)"
26,"(9683, 0.6710683107376099)","(9684, 0.6703411340713501)","(5636, 0.6667559742927551)","(5634, 0.6625645160675049)","(5633, 0.6567654013633728)"
27,"(9683, 0.6692190170288086)","(9684, 0.6684974431991577)","(5636, 0.6641589403152466)","(5634, 0.6604435443878174)","(5633, 0.6546944379806519)"
28,"(840, 0.9409447908401489)","(841, 0.9314000010490417)","(1887, 0.9275273084640503)","(4724, 0.9135682582855225)","(318, 0.911078929901123)"
29,"(840, 0.9152096509933472)","(1887, 0.91264808177948)","(841, 0.9083082675933838)","(4724, 0.9058178663253784)","(318, 0.8968548774719238)"
30,"(1887, 0.9311248064041138)","(840, 0.9310856461524963)","(841, 0.923521876335144)","(4724, 0.9134848713874817)","(135, 0.9117689728736877)"
31,"(840, 0.9170528650283813)","(1887, 0.9129846692085266)","(841, 0.9110769033432007)","(4724, 0.9009409546852112)","(135, 0.8979804515838623)"
32,"(840, 0.8507409691810608)","(1887, 0.8452608585357666)","(841, 0.8379822373390198)","(1888, 0.8206822276115417)","(946, 0.8177463412284851)"
33,"(4725, 0.8490584492683411)","(2627, 0.7478117942810059)","(2629, 0.7444576025009155)","(2628, 0.742710292339325)","(3106, 0.7261127233505249)"
34,"(30, 0.6581147313117981)","(2734, 0.6529402136802673)","(29, 0.651508629322052)","(1768, 0.6459002494812012)","(31, 0.6454521417617798)"
35,"(9071, 0.7847554683685303)","(14322, 0.7832150459289551)","(9072, 0.7819194197654724)","(9070, 0.7762061357498169)","(14320, 0.7739510536193848)"
36,"(15674, 0.8631481528282166)","(2282, 0.8424544930458069)","(1498, 0.8084278702735901)","(425, 0.7515462636947632)","(359, 0.7494122982025146)"
37,"(6555, 0.7804665565490723)","(6554, 0.7723912000656128)","(264, 0.7663640379905701)","(14719, 0.7654857039451599)","(14720, 0.7595487833023071)"
38,"(629, 0.9909360408782959)","(2562, 0.9851263165473938)","(934, 0.9850054383277893)","(628, 0.9800909757614136)","(7252, 0.9800491333007812)"
39,"(1708, 0.6560516953468323)","(2987, 0.6531735062599182)","(17714, 0.6529110670089722)","(17713, 0.6515985727310181)","(958, 0.6510534286499023)"
40,"(1708, 0.6585907936096191)","(17714, 0.6544666290283203)","(2987, 0.6542903184890747)","(17713, 0.6529146432876587)","(958, 0.6523951888084412)"
41,"(1708, 0.6589371562004089)","(17714, 0.6543624997138977)","(2987, 0.6543285846710205)","(958, 0.653976559638977)","(17713, 0.6527848243713379)"
42,"(1708, 0.6530717611312866)","(2987, 0.6507982611656189)","(958, 0.6494072675704956)","(17714, 0.6492341756820679)","(17713, 0.6477974653244019)"
43,"(1708, 0.650282084941864)","(17714, 0.646697998046875)","(2987, 0.6456806659698486)","(17713, 0.6454159021377563)","(958, 0.6440955996513367)"
44,"(1708, 0.6527053713798523)","(2987, 0.651439368724823)","(958, 0.6489173769950867)","(17714, 0.6481727957725525)","(17713, 0.6468545198440552)"
45,"(1708, 0.6582857966423035)","(17714, 0.6547483801841736)","(2987, 0.6545718312263489)","(958, 0.653921902179718)","(17713, 0.653434157371521)"
46,"(1708, 0.6431770324707031)","(17714, 0.6405532956123352)","(2987, 0.6403061747550964)","(17713, 0.6395300030708313)","(958, 0.638787567615509)"
47,"(1708, 0.6571053266525269)","(2987, 0.6552097201347351)","(17714, 0.6530239582061768)","(958, 0.6525389552116394)","(17713, 0.6514164209365845)"
48,"(1708, 0.6472422480583191)","(2987, 0.6468309760093689)","(17714, 0.6450916528701782)","(17713, 0.6435050964355469)","(958, 0.6430845260620117)"
49,"(1708, 0.6533917784690857)","(2987, 0.651404857635498)","(17714, 0.6497440934181213)","(958, 0.6497094035148621)","(17713, 0.6485128402709961)"
50,"(1708, 0.6523047685623169)","(2987, 0.6493434309959412)","(17714, 0.6478391885757446)","(958, 0.6472254395484924)","(17713, 0.6465258002281189)"
51,"(1708, 0.6471315622329712)","(2987, 0.6454349160194397)","(17714, 0.6436923742294312)","(958, 0.6424720883369446)","(17713, 0.6421347260475159)"
52,"(1708, 0.6542015075683594)","(2987, 0.6505979895591736)","(17714, 0.6499283909797668)","(17713, 0.6485922336578369)","(958, 0.6485769152641296)"
53,"(1708, 0.6353189945220947)","(2987, 0.6321823596954346)","(17714, 0.6321337819099426)","(17713, 0.6307685375213623)","(958, 0.6299582123756409)"
54,"(1708, 0.6511760354042053)","(17714, 0.6477627754211426)","(2987, 0.647750973701477)","(17713, 0.6462985873222351)","(958, 0.6457870602607727)"
55,"(1708, 0.6494694948196411)","(17714, 0.6464999318122864)","(2987, 0.6456024050712585)","(17713, 0.6451820135116577)","(958, 0.644680380821228)"
56,"(1708, 0.6518204212188721)","(2987, 0.6500396728515625)","(17714, 0.6484389305114746)","(958, 0.6470667123794556)","(17713, 0.6469123363494873)"
57,"(1708, 0.6507243514060974)","(2987, 0.6480022668838501)","(17714, 0.6469458937644958)","(958, 0.6461753845214844)","(17713, 0.6455883979797363)"
